KMHGN411DJU287584	<Пустое значение>
KMHGN411DJU288262	1 - Панель крыши: Окраска; 2 - Стекло заднее: Замена
Z94G3813DKR195446	1 - Стекло ветровое: Замена; 2 - панель крыши : Окраска Ремонт 2.0 н.ч
KMHGN411DJU288029	1 - Накладка порога прав: Замена Окраска
Z94G3813DKR195446	"1 - Облицовка бампера переднего: Окраска Ремонт 0,5н/ч; 2 - Спойлер бампера переднего(текстур): Замена; 3 - ПТФ перед. прав: Замена; 4 - Накладка ПТФ перед. прав: Замена"
XWES381CDL0006608	"1 - Крыло заднее прав.: Окраска Ремонт 0,5н/ч; 2 - Облицовка бампера заднего: Окраска Ремонт 0,5н/ч"
KMHGN411DKU327287	1 - Облицовка бампера переднего: Замена Окраска; 2 - Кроншт. бампера переднего прав.: Замена; 3 - Крыло переднее прав.: Замена Окраска; 4 - Диск колеса переднего прав.: Замена; 5 - Дверь передняя прав.: Окраска Ремонт 2н/ч; 6 - Дверь задняя прав.: Окраска Ремонт 2н/ч; 7 - Крыло заднее прав.: Окраска Ремонт 5н/ч; 8 - Диск колеса заднего прав.: Замена; 9 - Облицовка бампера заднего: Окраска Ремонт 1н/ч
KMHGN411DKU327916	1 - Капот: Окраска Ремонт 3н/ч; 2 - Корпус блок-фары передней прав.: Замена; 3 - Облицовка бампера переднего: Замена Окраска; 4 - Вставка бампера переднего прав.: Замена; 5 - Крыло переднее прав.: Окраска; 6 - Крышка фароомывателя прав.: Замена Окраска; 8 - Абсорбер бампера переднего: Замена; 9 - Панель передняя: Диагностика; 7 - Форсунка фароомывателя прав.: Диагностика
Z94G3813DLR210781	1 - Облицовка бампера переднего: Замена Окраска; 2 - Крыло перед. лев: Окраска Ремонт 2н/ч; 3 - Диск колеса перед. лев: Замена; 4 - Спойлер бампера переднего: Замена
Z94G3813DLR210781	1 - Облицовка бампера заднего : Окраска Ремонт 1н/ч; 2 - Спойлер бампера заднего : Замена
Z94G3813DLR210727	1 - Крыло переднее леваое : Ремонт полир; 2 - Дверь передняя левая : Ремонт полир; 3 - Молдинг двери задней левой : Замена; 4 - Молдинг двери передней левой : Замена; 5 - Дверь задняя левая : Замена Окраска; 6 - Крыло заднее левое : Замена Окраска; 7 - Накладка крыла заднего левого : Замена; 8 - Диск колеса заднего левого : Замена; 9 - Накладка порога левого : Замена; 10 - Облицовка бампера заднего : Окраска; 11 - ЗЗВ левое : Замена Окраска
KMHGN411DKU327352	<Пустое значение>
XWEJ3813DL0012791	1 - Стекло ветровое : Замена
XWES381CDL0006999	1 - Стекло ветровое : Замена
XWEJ3813DL0013152	1 - крыло переднее левое: Замена Окраска; 2 - накладка крыла пер. лев.: Замена; 3 - диск колеса пер. лев.: Диагностика; 4 - дверь передняя левая: Замена Окраска; 5 - крышка зеркала левого: Замена Окраска; 6 - дверь задняя левая: Диагностика; 7 - крыло заднее левое: Замена Окраска; 8 - накладка крыла зад. лев.: Замена; 9 - облицовка бампера заднего: Замена Окраска; 10 - кронштейн бампера зад. лев.: Замена; 11 - накладка порога левого: Замена; 12 - диск колеса зад. лев.: Диагностика
